,date,variable,value
571,2020-06-13,Mathematic,0
572,2020-06-14,Mathematic,0
573,2020-06-15,Mathematic,0
574,2020-06-16,Mathematic,32
575,2020-06-17,Mathematic,32
576,2020-06-18,Mathematic,0
577,2020-06-19,Mathematic,0
578,2020-06-20,Mathematic,0
579,2020-06-21,Mathematic,37
580,2020-06-22,Mathematic,0
581,2020-06-23,Mathematic,34
582,2020-06-24,Mathematic,0
583,2020-06-25,Mathematic,35
584,2020-06-26,Mathematic,0
585,2020-06-27,Mathematic,0
586,2020-06-28,Mathematic,0
587,2020-06-29,Mathematic,0
588,2020-06-30,Mathematic,0
589,2020-07-01,Mathematic,33
590,2020-07-02,Mathematic,33
591,2020-07-03,Mathematic,33
592,2020-07-04,Mathematic,0
593,2020-07-05,Mathematic,37
594,2020-07-06,Mathematic,34
595,2020-07-07,Mathematic,0
596,2020-07-08,Mathematic,0
597,2020-07-09,Mathematic,34
598,2020-07-10,Mathematic,37
599,2020-07-11,Mathematic,0
600,2020-07-12,Mathematic,0
601,2020-07-13,Mathematic,35
602,2020-07-14,Mathematic,35
603,2020-07-15,Mathematic,0
604,2020-07-16,Mathematic,0
605,2020-07-17,Mathematic,0
606,2020-07-18,Mathematic,0
607,2020-07-19,Mathematic,40
608,2020-07-20,Mathematic,37
609,2020-07-21,Mathematic,37
610,2020-07-22,Mathematic,0
611,2020-07-23,Mathematic,0
612,2020-07-24,Mathematic,0
613,2020-07-25,Mathematic,0
614,2020-07-26,Mathematic,0
615,2020-07-27,Mathematic,0
616,2020-07-28,Mathematic,0
617,2020-07-29,Mathematic,76
618,2020-07-30,Mathematic,0
619,2020-07-31,Mathematic,41
620,2020-08-01,Mathematic,0
621,2020-08-02,Mathematic,0
622,2020-08-03,Mathematic,0
623,2020-08-04,Mathematic,35
624,2020-08-05,Mathematic,0
625,2020-08-06,Mathematic,0
626,2020-08-07,Mathematic,0
627,2020-08-08,Mathematic,0
628,2020-08-09,Mathematic,0
629,2020-08-10,Mathematic,36
630,2020-08-11,Mathematic,0
631,2020-08-12,Mathematic,0
632,2020-08-13,Mathematic,0
633,2020-08-14,Mathematic,0
634,2020-08-15,Mathematic,0
635,2020-08-16,Mathematic,0
636,2020-08-17,Mathematic,0
637,2020-05-19,Thou,54
638,2020-05-20,Thou,45
639,2020-05-21,Thou,50
640,2020-05-22,Thou,68
641,2020-05-23,Thou,61
642,2020-05-24,Thou,97
643,2020-05-25,Thou,47
644,2020-05-26,Thou,34
645,2020-05-27,Thou,48
646,2020-05-28,Thou,43
647,2020-05-29,Thou,61
648,2020-05-30,Thou,68
649,2020-05-31,Thou,89
650,2020-06-01,Thou,36
651,2020-06-02,Thou,46
652,2020-06-03,Thou,46
653,2020-06-04,Thou,64
654,2020-06-05,Thou,58
655,2020-06-06,Thou,46
656,2020-06-07,Thou,58
657,2020-06-08,Thou,62
658,2020-06-09,Thou,44
659,2020-06-10,Thou,49
660,2020-06-11,Thou,46
661,2020-06-12,Thou,63
662,2020-06-13,Thou,32
663,2020-06-14,Thou,84
664,2020-06-15,Thou,43
665,2020-06-16,Thou,34
666,2020-06-17,Thou,62
667,2020-06-18,Thou,64
668,2020-06-19,Thou,48
669,2020-06-20,Thou,32
670,2020-06-21,Thou,49
671,2020-06-22,Thou,58
672,2020-06-23,Thou,42
673,2020-06-24,Thou,30
674,2020-06-25,Thou,73
675,2020-06-26,Thou,39
676,2020-06-27,Thou,53
677,2020-06-28,Thou,90
678,2020-06-29,Thou,33
679,2020-06-30,Thou,69
680,2020-07-01,Thou,41
681,2020-07-02,Thou,61
682,2020-07-03,Thou,56
683,2020-07-04,Thou,37
684,2020-07-05,Thou,79
685,2020-07-06,Thou,45
686,2020-07-07,Thou,44
687,2020-07-08,Thou,63
688,2020-07-09,Thou,81
689,2020-07-10,Thou,81
690,2020-07-11,Thou,79
691,2020-07-12,Thou,94
692,2020-07-13,Thou,43
693,2020-07-14,Thou,78
694,2020-07-15,Thou,62
695,2020-07-16,Thou,81
696,2020-07-17,Thou,64
697,2020-07-18,Thou,71
698,2020-07-19,Thou,52
699,2020-07-20,Thou,50
700,2020-07-21,Thou,57
701,2020-07-22,Thou,73
702,2020-07-23,Thou,40
703,2020-07-24,Thou,56
704,2020-07-25,Thou,61
705,2020-07-26,Thou,100
706,2020-07-27,Thou,62
707,2020-07-28,Thou,53
708,2020-07-29,Thou,50
709,2020-07-30,Thou,39
710,2020-07-31,Thou,38
711,2020-08-01,Thou,70
712,2020-08-02,Thou,72
713,2020-08-03,Thou,36
714,2020-08-04,Thou,41
715,2020-08-05,Thou,47
716,2020-08-06,Thou,26
717,2020-08-07,Thou,70
718,2020-08-08,Thou,56
719,2020-08-09,Thou,67
720,2020-08-10,Thou,48
721,2020-08-11,Thou,42
722,2020-08-12,Thou,52
723,2020-08-13,Thou,53
724,2020-08-14,Thou,29
725,2020-08-15,Thou,59
726,2020-08-16,Thou,72
727,2020-08-17,Thou,48
728,2020-05-19,Fine,69
729,2020-05-20,Fine,80
730,2020-05-21,Fine,79
731,2020-05-22,Fine,74
732,2020-05-23,Fine,81
733,2020-05-24,Fine,72
734,2020-05-25,Fine,77
735,2020-05-26,Fine,75
736,2020-05-27,Fine,78
737,2020-05-28,Fine,64
738,2020-05-29,Fine,83
739,2020-05-30,Fine,69
740,2020-05-31,Fine,71
741,2020-06-01,Fine,69
742,2020-06-02,Fine,72
743,2020-06-03,Fine,71
744,2020-06-04,Fine,70
745,2020-06-05,Fine,74
746,2020-06-06,Fine,76
747,2020-06-07,Fine,71
748,2020-06-08,Fine,77
749,2020-06-09,Fine,73
750,2020-06-10,Fine,77
751,2020-06-11,Fine,74
752,2020-06-12,Fine,72
753,2020-06-13,Fine,71
754,2020-06-14,Fine,77
755,2020-06-15,Fine,82
756,2020-06-16,Fine,72
757,2020-06-17,Fine,82
758,2020-06-18,Fine,78
759,2020-06-19,Fine,78
760,2020-06-20,Fine,70
761,2020-06-21,Fine,70
762,2020-06-22,Fine,74
763,2020-06-23,Fine,72
764,2020-06-24,Fine,75
765,2020-06-25,Fine,67
766,2020-06-26,Fine,63
767,2020-06-27,Fine,83
768,2020-06-28,Fine,80
769,2020-06-29,Fine,80
770,2020-06-30,Fine,85
771,2020-07-01,Fine,75
772,2020-07-02,Fine,75
773,2020-07-03,Fine,83
774,2020-07-04,Fine,80
775,2020-07-05,Fine,77
776,2020-07-06,Fine,82
777,2020-07-07,Fine,84
778,2020-07-08,Fine,84
779,2020-07-09,Fine,89
780,2020-07-10,Fine,85
781,2020-07-11,Fine,78
782,2020-07-12,Fine,77
783,2020-07-13,Fine,81
784,2020-07-14,Fine,94
785,2020-07-15,Fine,78
786,2020-07-16,Fine,84
787,2020-07-17,Fine,85
788,2020-07-18,Fine,82
789,2020-07-19,Fine,74
790,2020-07-20,Fine,85
791,2020-07-21,Fine,76
792,2020-07-22,Fine,82
793,2020-07-23,Fine,89
794,2020-07-24,Fine,81
795,2020-07-25,Fine,83
796,2020-07-26,Fine,85
797,2020-07-27,Fine,84
798,2020-07-28,Fine,83
799,2020-07-29,Fine,87
800,2020-07-30,Fine,88
801,2020-07-31,Fine,75
802,2020-08-01,Fine,79
803,2020-08-02,Fine,77
804,2020-08-03,Fine,82
805,2020-08-04,Fine,90
806,2020-08-05,Fine,78
807,2020-08-06,Fine,88
808,2020-08-07,Fine,89
809,2020-08-08,Fine,80
810,2020-08-09,Fine,72
811,2020-08-10,Fine,75
812,2020-08-11,Fine,82
813,2020-08-12,Fine,80
814,2020-08-13,Fine,80
815,2020-08-14,Fine,100
816,2020-08-15,Fine,85
817,2020-08-16,Fine,88
818,2020-08-17,Fine,89
819,2020-05-19,Bachelor,40
820,2020-05-20,Bachelor,64
821,2020-05-21,Bachelor,39
822,2020-05-22,Bachelor,65
823,2020-05-23,Bachelor,37
824,2020-05-24,Bachelor,70
825,2020-05-25,Bachelor,67
826,2020-05-26,Bachelor,78
827,2020-05-27,Bachelor,60
828,2020-05-28,Bachelor,59
829,2020-05-29,Bachelor,53
830,2020-05-30,Bachelor,37
831,2020-05-31,Bachelor,71
832,2020-06-01,Bachelor,51
833,2020-06-02,Bachelor,70
834,2020-06-03,Bachelor,55
835,2020-06-04,Bachelor,40
836,2020-06-05,Bachelor,46
837,2020-06-06,Bachelor,45
838,2020-06-07,Bachelor,82
839,2020-06-08,Bachelor,76
840,2020-06-09,Bachelor,65
841,2020-06-10,Bachelor,45
842,2020-06-11,Bachelor,68
843,2020-06-12,Bachelor,46
844,2020-06-13,Bachelor,78
845,2020-06-14,Bachelor,69
846,2020-06-15,Bachelor,45
847,2020-06-16,Bachelor,53
848,2020-06-17,Bachelor,47
849,2020-06-18,Bachelor,38
850,2020-06-19,Bachelor,43
851,2020-06-20,Bachelor,57
852,2020-06-21,Bachelor,54
853,2020-06-22,Bachelor,33
854,2020-06-23,Bachelor,72
855,2020-06-24,Bachelor,38
856,2020-06-25,Bachelor,38
857,2020-06-26,Bachelor,28
858,2020-06-27,Bachelor,36
859,2020-06-28,Bachelor,78
860,2020-06-29,Bachelor,60
861,2020-06-30,Bachelor,56
862,2020-07-01,Bachelor,81
863,2020-07-02,Bachelor,46
864,2020-07-03,Bachelor,41
865,2020-07-04,Bachelor,65
866,2020-07-05,Bachelor,76
867,2020-07-06,Bachelor,42
868,2020-07-07,Bachelor,82
869,2020-07-08,Bachelor,55
870,2020-07-09,Bachelor,48
871,2020-07-10,Bachelor,61
872,2020-07-11,Bachelor,53
873,2020-07-12,Bachelor,62
874,2020-07-13,Bachelor,64
875,2020-07-14,Bachelor,75
876,2020-07-15,Bachelor,47
877,2020-07-16,Bachelor,57
878,2020-07-17,Bachelor,82
879,2020-07-18,Bachelor,61
880,2020-07-19,Bachelor,69
881,2020-07-20,Bachelor,69
882,2020-07-21,Bachelor,73
883,2020-07-22,Bachelor,69
884,2020-07-23,Bachelor,82
